GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final_practice_sprint_8,org.example,Account,0,55,0,8,0,9,0,6,0,2
final_practice_sprint_8,org.example,Praktikum,12,0,0,0,4,0,2,0,2,0
